,address,timestamp,amountStaked
127,0x0d9686d3c602a458110f43147bcf33bfc3fef135,2022-04-07T21:45:30,1100
128,0x2f75ffe98046e4a55fa79daf97b2730d7e707186,2022-04-07T21:46:59,2003
129,0x22a8ac0570ddc4b99d295b1d71ff0bde265903f3,2022-04-07T21:49:32,1047
130,0xf07cdab23124d5cf2897ec460d691c610103a96a,2022-04-07T21:56:20,1110
131,0x9282fe119c18b600053399dd608f374afd0d218e,2022-04-07T22:08:23,1090
132,0x391891af67e29d97e61e30c3036a0874f5da411e,2022-04-07T22:15:59,50000
133,0xe49464e503b3a5e97765e5e54666dce2a828652d,2022-04-07T22:35:24,1105
134,0x471eb1312a93c397089fcc569e32ac887fe1856e,2022-04-07T22:46:53,1099
135,0xd6b01c20918a7ba5d05e81dc59ded322962b4d37,2022-04-07T22:47:21,2000
136,0xf93f775eeb76e69aa76b6785c2dcf16303fe277d,2022-04-07T22:53:58,1050
137,0x9b19da8bbd711f15767be282d2c2a5ff8cee2d2c,2022-04-07T22:56:16,2015
138,0x13be6e4686ff8af227befb921bbfdfc997e0573f,2022-04-07T22:56:44,4000
139,0xb7f9f538aa1b41ae2853eb63f1939187ffe70eb4,2022-04-07T23:01:49,30000
140,0x40c0771f1ad6a3bf551cbbe0436716a394847a44,2022-04-07T23:10:50,1141
141,0x8fa942761e522662bb233f6f520e3c0ae39708a6,2022-04-07T23:12:13,3500
142,0x5d2ca9c220f66a5f181e53bac510fe1e1a0ba268,2022-04-07T23:18:42,10990
143,0x6d3c4171d6807378cf6482732873e675d28a8c72,2022-04-07T23:18:54,10010
144,0x4ae1ac36eda71d31b01dae5c706d1d741509b124,2022-04-07T23:39:46,1015
145,0xaa0445568a566fcd905b49ed6d91a47edd15519c,2022-04-07T23:46:57,1123
146,0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,2022-04-08T00:58:47,20227
147,0xe5ec967f039833b8606b5588c27e85c33043716c,2022-04-08T01:23:32,10488
148,0x1750f9f65be225fa3c3914dc77c13d739da8fbee,2022-04-08T01:35:10,200
149,0x4cf8be01027ad66c4939181a5b8c5b2b281771f0,2022-04-08T01:39:29,990
150,0x84dccfb3f3e044229fa00e216e2829725579d97f,2022-04-08T01:40:49,1896
151,0xff92318eec032755d443ae6c877ab09fd27fc2f5,2022-04-08T01:48:47,10000
152,0xc7b6c16b6032ac35ed5a512622272215ae860156,2022-04-08T02:04:40,5095
153,0xbd251f2d6e8132d44d076f12e0520f2bc74b0013,2022-04-08T02:10:32,1000
154,0xb0ba26dedc9c1ddae319de606c3b1279e26be57e,2022-04-08T02:25:12,5035
155,0xc32b7438b3df7844c9ee799930a2224fe6e26426,2022-04-08T02:36:43,545
156,0xbd121117185485b4fa3368690240b826fbd76fbb,2022-04-08T02:57:12,1000
157,0xd84b9909a087872efb9b08bae8171625a3ccb653,2022-04-08T03:01:02,8066
158,0x74a2e6a985b33454d39a0b333f51c3315cafc125,2022-04-08T03:09:27,1833
159,0xabdb1f94bff885bd8933ac4f8aaacda4326491de,2022-04-08T04:26:54,10094
160,0xa4b6ed45dcc760abd5679f7c36066fd3fced0ec0,2022-04-08T04:32:53,150592
161,0xf930b0a0500d8f53b2e7efa4f7bcb5cc0c71067e,2022-04-08T06:01:48,75000
162,0x1ccb144b700ec726d37db38c617e154de6d9c0d0,2022-04-08T06:37:28,400
163,0xbbaca87124b71a3a3cd29846c7a3ce0c493864e2,2022-04-08T06:40:35,500
164,0xa7a6a13d550180a397817a1bb5e896e5dcae4606,2022-04-08T06:41:40,100600
165,0xcd36b622085c508404ddaaca943eb69ad8113ff7,2022-04-08T07:01:06,1500
166,0x301481d22a64e7dea6c44c68ad3030a4132c81c3,2022-04-08T07:15:59,1000
167,0x4c4b46abe88f996d1b3b4a8fa41876535675ef1e,2022-04-08T07:23:58,3000
168,0x1b1d046a1001fd6fd4d11f204c7464989d621d92,2022-04-08T08:27:21,200000
169,0xd48d664965286ddea41e97784d079de981d099b6,2022-04-08T08:46:42,10000
170,0xf4dcc8993d097093303e3e50d7a27e36fb1a6eb5,2022-04-08T09:35:20,50000
171,0x48aa9d67cb713804c005516bca7769c159d7897c,2022-04-08T09:53:17,10
172,0xd819c62dde216ef3b508d348542b59477efd606f,2022-04-08T09:55:05,2
173,0xc1129c95d9f16a17f80efcbde4f1b536c484c1d6,2022-04-08T12:05:21,20000
174,0x821e3f3bb33cf667b98339bebe8a3e3c693b6eb4,2022-04-08T12:15:31,100000
175,0x8edf3624a4bee9cc5e4bc46b4daf872255bf25ac,2022-04-08T12:37:48,300
176,0x95f35ca431cf7c5c7eb7cc66071c35f2d516491d,2022-04-08T12:44:50,5200
177,0xdac71eaad0aee5c4eb45f9284900d7a2b9561327,2022-04-08T13:16:03,100000
178,0xf78a149be085ff02bc5de35578d52055a47a619e,2022-04-08T13:16:41,50000
179,0x14730014eea880f2d52ac0b67442c485242d9b9c,2022-04-08T13:58:08,99999
180,0x17d2b1b51fb36ef6f8e397feee9e0c98ad8eab60,2022-04-08T14:31:45,20
181,0x67ad62e37e5e76f40105fc441f502ba79ca24265,2022-04-08T16:19:04,1536
