,Unnamed: 0,#,Address,Quantity,Percentage,7d Change,Address.1,prub
62,62,63,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,159723,0.13%,--,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b
63,63,64,0x0d0707963952f2fba59dd06f2b425ace40b492fe Gate.io,154538,0.13%,10043,0x0d0707963952f2fba59dd06f2b425ace40b492fe Gate.io,0x0d0707963952f2fba59dd06f2b425ace40b492fe
64,64,65,0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604,154422,0.13%,--,0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604,0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604
65,65,66,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000,0.13%,--,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,0xfd898a0f677e97a9031654fc79a27cb5e31da34a
66,66,67,0x6eb6052e8f14fdc19d0a5d697b26d2ffb88345c6,150000,0.13%,--,0x6eb6052e8f14fdc19d0a5d697b26d2ffb88345c6,0x6eb6052e8f14fdc19d0a5d697b26d2ffb88345c6
67,67,68,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000,0.13%,-100000,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,0xb8cda067fabedd1bb6c11c626862d7255a2414fe
68,68,69,0x701c484bfb40ac628afa487b6082f084b14af0bd,150000,0.13%,--,0x701c484bfb40ac628afa487b6082f084b14af0bd,0x701c484bfb40ac628afa487b6082f084b14af0bd
69,69,70,0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000,0.13%,--,0x4b4a011c420b91260a272afd91e54accdafdfc1d,0x4b4a011c420b91260a272afd91e54accdafdfc1d
70,70,71,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000,0.13%,--,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69
71,71,72,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000,0.13%,--,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,0xd05e6bf1a00b5b4c9df909309f19e29af792422b
72,72,73,0x19d599012788b991ff542f31208bab21ea38403e,150000,0.13%,--,0x19d599012788b991ff542f31208bab21ea38403e,0x19d599012788b991ff542f31208bab21ea38403e
73,73,74,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000,0.13%,--,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9
74,74,75,0xb20411c403687d1036e05c8a7310a0f218429503,150000,0.13%,--,0xb20411c403687d1036e05c8a7310a0f218429503,0xb20411c403687d1036e05c8a7310a0f218429503
75,75,76,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000,0.13%,--,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f
76,76,77,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000,0.13%,--,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,0xb9fa6e54025b4f0829d8e1b42e8b846914659632
77,77,78,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000,0.13%,--,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,0xba18ded5e0d604a86428282964ae0bb249ceb9d0
78,78,79,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000,0.13%,--,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,0xfe01a216234f79cfc3bea7513e457c6a9e50250d
79,79,80,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000,0.13%,--,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d
80,80,81,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000,0.13%,--,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7
81,81,82,0x77afe94859163abf0b90725d69e904ea91446c7b,150000,0.13%,--,0x77afe94859163abf0b90725d69e904ea91446c7b,0x77afe94859163abf0b90725d69e904ea91446c7b
82,82,83,0xca582d9655a50e6512045740deb0de3a7ee5281f,150000,0.13%,--,0xca582d9655a50e6512045740deb0de3a7ee5281f,0xca582d9655a50e6512045740deb0de3a7ee5281f
83,83,84,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000,0.13%,--,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935
84,84,85,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000,0.13%,--,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6
85,85,86,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000,0.13%,--,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,0x7ae92148e79d60a0749fd6de374c8e81dfddf792
86,86,87,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000,0.13%,--,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,0x091933ee1088cdf5daace8baec0997a4e93f0dd6
87,87,88,0x828103b231b39fffce028562412b3c04a4640e64,150000,0.13%,--,0x828103b231b39fffce028562412b3c04a4640e64,0x828103b231b39fffce028562412b3c04a4640e64
88,88,89,0xd6216fc19db775df9774a6e33526131da7d19a2c KuCoin 6,149806,0.12%,--,0xd6216fc19db775df9774a6e33526131da7d19a2c KuCoin 6,0xd6216fc19db775df9774a6e33526131da7d19a2c
89,89,90,0x4399f61795d3e50096e236a6d31ab24470c99fd5,146516,0.12%,7000,0x4399f61795d3e50096e236a6d31ab24470c99fd5,0x4399f61795d3e50096e236a6d31ab24470c99fd5
90,90,91,0xd69b0089d9ca950640f5dc9931a41a5965f00303 Gemini 7,146462,0.12%,2000,0xd69b0089d9ca950640f5dc9931a41a5965f00303 Gemini 7,0xd69b0089d9ca950640f5dc9931a41a5965f00303
91,91,92,0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000,0.12%,--,0x4baf012726cb5ec7dda57bc2770798a38100c44d,0x4baf012726cb5ec7dda57bc2770798a38100c44d
92,92,93,0x8d95842b0bca501446683be598e12f1c616770c1,143012,0.12%,--,0x8d95842b0bca501446683be598e12f1c616770c1,0x8d95842b0bca501446683be598e12f1c616770c1
93,93,94,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,141872,0.12%,--,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f
94,94,95,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,139701,0.12%,--,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,0xb93d8596ac840816bd366dc0561e8140afd0d1cb
95,95,96,0x3262f13a39efaca789ae58390441c9ed76bc658a,138498,0.12%,--,0x3262f13a39efaca789ae58390441c9ed76bc658a,0x3262f13a39efaca789ae58390441c9ed76bc658a
96,96,97,0x6a2c3c4c7169d69a67ae2251c7d765ac79a4967e,138442,0.12%,--,0x6a2c3c4c7169d69a67ae2251c7d765ac79a4967e,0x6a2c3c4c7169d69a67ae2251c7d765ac79a4967e
97,97,98,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135284,0.11%,--,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6
98,98,99,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,135188,0.11%,--,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9
99,99,100,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,132433,0.11%,--,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1
